id,sex,age,age_cat,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_desc,two_year_recid,time_in_custody_in_days,time_in_jail_in_days,African-American_race,Asian_race,Caucasian_race,Hispanic_race,Native American_race,Other_race,Felony_c_charge_degree,Misdemeanor_c_charge_degree,High_score_text,Low_score_text,Medium_score_text,High_v_score_text,Low_v_score_text,Medium_v_score_text
70,1,29,25 - 45,0,0,0,0,0.5614790481002668,0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
71,1,29,25 - 45,0,0,0,1,0.5022231582251759,1,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
72,0,28,25 - 45,0,0,0,0,0.46892515692495623,0,1.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
75,1,48,Greater than 45,0,0,0,20,0.4517112099682474,1,1940.0,10.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
77,0,63,Greater than 45,0,0,0,1,0.4517112099682474,0,8.0,8.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
79,1,31,25 - 45,0,0,1,15,-0.006383332083159237,0,136.0,135.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
80,1,24,Less than 25,0,0,0,2,0.7505241595646809,1,2.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
83,1,30,25 - 45,0,0,0,0,0.488868470039596,0,23.0,23.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
84,1,49,Greater than 45,0,0,0,4,0.3827224111679078,0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
85,1,53,Greater than 45,0,0,0,8,0.4517112099682474,0,13.0,13.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
87,1,35,25 - 45,0,0,0,5,0.5242066153601288,0,1.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
88,1,63,Greater than 45,0,0,0,10,0.4995419079703552,1,36.0,35.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
90,1,27,25 - 45,1,1,2,15,0.5242066153601288,1,5.0,1.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
91,1,38,25 - 45,0,0,0,4,0.3827224111679078,1,2.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
93,1,22,Less than 25,0,0,1,1,1.0061531706720037,1,1.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
95,1,22,Less than 25,0,1,2,2,1.0060738206365123,1,124.0,124.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
96,1,29,25 - 45,0,0,0,4,0.4517112099682474,1,98.0,18.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
97,1,62,Greater than 45,0,0,0,0,0.3351480899798163,0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
98,1,27,25 - 45,0,1,0,6,0.5680810892587644,1,1.0,30.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
99,1,33,25 - 45,0,0,0,0,0.3827224111679078,0,1.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
100,0,56,Greater than 45,0,0,0,0,0.3827224111679078,0,3.0,3.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
101,1,45,Greater than 45,0,0,0,6,0.5917112870422038,1,242.0,241.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
102,1,22,Less than 25,0,0,0,1,0.5401373575236661,0,1.0,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
105,1,39,25 - 45,0,0,0,1,0.4517112099682474,0,5.0,4.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
107,1,29,25 - 45,0,0,0,5,0.9952808005415834,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
108,1,27,25 - 45,0,0,1,1,0.4517112099682474,1,58.0,14.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
111,1,40,25 - 45,0,0,0,2,0.4517112099682474,0,3.0,3.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
113,1,22,Less than 25,0,0,0,1,0.3827224111679078,1,21.0,16.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
114,1,22,Less than 25,0,0,0,0,0.46892515692495623,0,21.0,57.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
115,0,26,25 - 45,0,0,0,1,0.5832223064250028,1,58.0,2.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
116,1,27,25 - 45,0,0,0,1,0.4195070114868495,1,137.0,19.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
119,1,32,25 - 45,0,0,0,0,0.3637459219753152,0,1.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
120,1,41,25 - 45,0,0,0,1,0.4517112099682474,0,2.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
122,1,30,25 - 45,0,0,0,8,0.488868470039596,1,1.0,1.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
127,1,50,Greater than 45,0,0,0,0,0.4517112099682474,1,2.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
128,1,25,25 - 45,1,6,1,14,0.4517112099682474,1,19.0,7.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
130,1,20,Less than 25,0,0,0,0,0.5614790481002668,1,423.0,1.0,0,0,0,0,0,1,1,0,0,0,1,1,0,0
131,1,22,Less than 25,1,0,0,2,1.00173402795272,1,30.0,30.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
132,1,23,Less than 25,0,0,1,2,0.4517112099682474,1,1.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
136,0,35,25 - 45,0,0,0,1,0.4517112099682474,0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
137,1,36,25 - 45,0,0,0,9,0.587331218824493,1,4.0,3.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
138,1,26,25 - 45,0,0,0,7,0.5134258591836661,1,10.0,0.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
139,1,21,Less than 25,0,0,0,1,0.46892515692495623,1,98.0,3.0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
142,1,25,25 - 45,0,0,0,9,0.5084188990650611,1,2.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
143,1,71,Greater than 45,0,0,0,12,0.488868470039596,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
145,0,20,Less than 25,0,0,0,0,0.3816785218935147,0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
146,1,39,25 - 45,0,0,0,2,0.5364744979315855,1,22.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
147,1,66,Greater than 45,0,0,0,3,0.0004260975349435706,0,30.0,30.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
148,0,54,Greater than 45,0,0,0,0,0.20220753462903243,0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
150,0,44,25 - 45,0,0,0,0,0.3827224111679078,0,1.0,1.0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
151,1,19,Less than 25,0,0,0,1,0.3827224111679078,1,6.0,9.0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
152,1,24,Less than 25,0,0,0,1,0.4517112099682474,0,0.0,137.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
153,1,30,25 - 45,0,0,0,1,0.3310215990950379,0,1.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
154,0,39,25 - 45,0,0,0,0,0.48407441260709094,1,2.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
156,1,24,Less than 25,0,1,2,8,0.7905540362731246,1,12.0,12.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
157,1,30,25 - 45,0,0,0,0,0.4833625019137319,0,27.0,5.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
158,1,31,25 - 45,0,0,0,0,0.3827224111679078,0,39.0,38.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
159,0,39,25 - 45,0,0,0,1,0.49096196969498074,0,5.0,106.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
160,1,59,Greater than 45,0,0,0,14,0.4517112099682474,1,110.0,109.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
163,1,43,25 - 45,0,0,0,1,0.5917112870422038,0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
166,1,21,Less than 25,0,0,0,3,0.46892515692495623,1,302.0,6.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
169,1,38,25 - 45,0,0,0,5,0.488868470039596,1,1.0,2.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
171,1,34,25 - 45,0,0,0,0,0.28505963547838464,0,69.0,14.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
173,1,33,25 - 45,0,0,0,5,0.6250612152260047,1,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
174,1,37,25 - 45,0,0,0,3,0.3816785218935147,0,7.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
175,1,42,25 - 45,0,0,0,1,0.42738073604599525,1,1.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
176,1,41,25 - 45,0,1,0,10,0.5917112870422038,1,41.0,176.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
177,1,22,Less than 25,0,0,0,0,0.5082946328948995,1,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
178,1,33,25 - 45,0,12,2,28,0.5242066153601288,1,1.0,1.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
180,1,31,25 - 45,0,0,0,1,0.3827224111679078,0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
182,0,30,25 - 45,0,0,0,1,0.38548297812705157,0,8.0,1.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
183,1,31,25 - 45,0,0,0,13,0.4517112099682474,1,471.0,471.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
184,1,27,25 - 45,0,0,0,3,0.5917112870422038,1,1.0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
187,1,56,Greater than 45,0,0,0,8,0.4517112099682474,0,80.0,79.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
189,1,52,Greater than 45,0,0,0,3,0.3827224111679078,0,1.0,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
190,1,33,25 - 45,0,0,0,19,0.4517112099682474,1,32.0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
192,0,64,Greater than 45,0,0,0,2,0.5337522519132827,0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
193,1,22,Less than 25,0,0,0,4,0.5364744979315855,1,19.0,14.0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
194,1,42,25 - 45,0,0,0,6,0.5364744979315855,0,86.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
195,0,25,25 - 45,0,0,0,2,0.4517112099682474,0,21.0,3.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
197,1,30,25 - 45,0,0,0,1,0.2865881713616546,0,4.0,3.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
199,1,28,25 - 45,0,0,0,2,0.4517112099682474,0,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
200,0,37,25 - 45,0,0,0,2,0.5866620633205494,0,2.0,1.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
202,1,28,25 - 45,0,0,0,0,0.18123218378439446,1,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
203,0,24,Less than 25,0,0,0,0,0.3827224111679078,0,2.0,2.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
206,0,29,25 - 45,0,1,0,10,0.46892515692495623,1,38.0,7.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
208,1,44,25 - 45,0,0,0,2,0.3827224111679078,1,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
209,0,30,25 - 45,0,0,0,4,0.5296779176237041,1,241.0,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
210,1,32,25 - 45,0,0,0,3,0.5917112870422038,1,8.0,8.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
213,1,31,25 - 45,0,0,0,2,0.5337522519132827,1,15.0,15.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
215,1,31,25 - 45,0,0,0,1,-0.007362791439709402,0,1.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
216,1,59,Greater than 45,0,0,0,1,0.5917112870422038,1,55.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
218,0,45,Greater than 45,0,0,0,4,0.4517112099682474,0,0.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
220,0,20,Less than 25,1,0,0,1,0.4517112099682474,0,9.0,2.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
222,0,43,25 - 45,0,0,0,0,0.20220753462903243,0,1.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
223,1,38,25 - 45,1,1,0,9,0.5917112870422038,1,1.0,13.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
224,1,32,25 - 45,0,0,0,11,0.9965127921095169,1,36.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
225,1,33,25 - 45,0,0,0,8,0.4091438327356797,1,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
227,0,31,25 - 45,0,0,0,0,0.5022231582251759,1,35.0,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
228,0,33,25 - 45,0,0,0,7,0.5917112870422038,1,19.0,26.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
229,1,27,25 - 45,0,0,0,2,0.5614790481002668,1,0.0,1.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
231,0,20,Less than 25,0,0,0,0,0.46892515692495623,0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
232,0,26,25 - 45,0,0,0,0,0.25961029712366585,0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
234,0,61,Greater than 45,0,0,0,1,0.9965488078096926,1,1.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
235,1,52,Greater than 45,0,0,0,13,0.7552738403735237,1,0.0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
236,1,63,Greater than 45,0,0,0,1,0.4517112099682474,0,15.0,14.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
238,0,32,25 - 45,0,0,0,4,0.4517112099682474,1,118.0,6.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
239,1,29,25 - 45,0,0,0,1,0.46892515692495623,0,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
240,0,46,Greater than 45,0,0,0,1,0.002549066468773696,0,0.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
241,0,26,25 - 45,0,0,0,2,0.26743035760683337,1,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
242,1,55,Greater than 45,0,0,0,3,0.3827224111679078,0,1.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
244,0,30,25 - 45,0,0,0,3,0.999169863798354,1,530.0,530.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
245,1,30,25 - 45,0,0,0,1,-0.00869420206200997,0,3.0,70.0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
246,1,48,Greater than 45,0,0,0,2,0.3827224111679078,0,1.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
248,1,22,Less than 25,0,0,0,1,0.4517112099682474,0,188.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
249,1,46,Greater than 45,0,0,0,6,0.5242066153601288,1,23.0,22.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
251,0,49,Greater than 45,0,0,0,6,0.38548297812705157,0,5.0,5.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
252,1,31,25 - 45,0,0,0,0,0.2904382554909237,0,50.0,2.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
254,1,25,25 - 45,0,0,0,1,0.3827224111679078,1,4.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
257,1,23,Less than 25,0,0,0,0,0.3816785218935147,0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
258,0,32,25 - 45,0,0,0,5,0.25080138262304075,0,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
259,1,52,Greater than 45,0,0,0,2,0.25849596420920445,0,35.0,3.0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
260,1,62,Greater than 45,0,0,0,8,0.5917112870422038,0,16.0,15.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
262,0,37,25 - 45,0,0,0,6,0.5917112870422038,0,188.0,105.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
263,1,55,Greater than 45,0,0,0,1,0.46892515692495623,0,18.0,18.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
264,1,31,25 - 45,0,0,0,8,0.4517112099682474,1,117.0,117.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
265,1,28,25 - 45,0,0,0,6,0.5337522519132827,1,16.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
266,1,54,Greater than 45,0,0,0,2,0.47334485910805635,0,188.0,188.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
267,1,58,Greater than 45,0,0,0,0,0.495424477033147,0,77.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
268,1,78,Greater than 45,0,0,0,1,0.26743035760683337,1,1.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
269,1,56,Greater than 45,0,0,0,0,0.5917112870422038,0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
271,1,24,Less than 25,0,0,0,0,0.47334485910805635,0,2.0,1.0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
272,1,38,25 - 45,2,2,1,22,0.4068041729268844,1,28.0,33.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
275,1,22,Less than 25,0,0,0,1,0.5084188990650611,1,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
277,1,47,Greater than 45,0,0,0,23,0.488868470039596,1,34.0,0.0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
278,1,23,Less than 25,0,0,0,0,0.3827224111679078,1,9.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
279,1,57,Greater than 45,0,0,0,1,0.5242066153601288,0,20.0,19.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
280,0,38,25 - 45,0,0,0,2,0.5917112870422038,1,8.0,0.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
281,1,66,Greater than 45,0,0,0,3,0.3218259899939689,0,2.0,2.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
282,1,45,Greater than 45,0,0,0,8,0.5493738921402309,1,11.0,71.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
286,1,32,25 - 45,0,0,0,13,0.5832223064250028,1,97.0,97.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
287,1,37,25 - 45,0,0,0,2,0.3827224111679078,1,32.0,0.0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
288,1,39,25 - 45,0,0,0,0,0.4833625019137319,1,1.0,0.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
289,1,26,25 - 45,0,0,0,9,0.587331218824493,1,106.0,79.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
291,1,45,Greater than 45,0,0,0,2,0.1088861756095142,0,359.0,358.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
293,1,23,Less than 25,0,0,0,0,0.36687432079403715,1,193.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
294,1,34,25 - 45,0,0,0,2,0.3827224111679078,0,23.0,25.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
297,0,23,Less than 25,0,0,0,1,0.3827224111679078,0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
298,1,36,25 - 45,0,0,0,2,0.3827224111679078,1,77.0,2.0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
299,1,50,Greater than 45,0,0,0,1,0.00648422195533758,0,1.0,1.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
300,0,37,25 - 45,0,0,0,0,0.09460381762370525,0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
301,1,44,25 - 45,0,0,0,4,0.3827224111679078,0,1.0,1.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
302,0,35,25 - 45,0,1,0,23,0.7552738403735237,1,2.0,2.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
